equity_original,equity_nn
12432.775856205806,10504.276989884514
12471.942989926785,10504.276989884514
12510.89819947573,10504.276989884514
12549.1566222935,10504.276989884514
12586.353687343037,10504.276989884514
12626.536676317606,10504.276989884514
12668.763723557386,10504.276989884514
12628.377928197122,10504.276989884514
12682.739998146535,10504.276989884514
12737.376219907597,10504.276989884514
12792.481296922335,10504.276989884514
12846.121767431556,10504.276989884514
12810.086256087603,10504.276989884514
12774.750435286076,10504.276989884514
12740.647167532872,10504.276989884514
12705.699853056683,10504.276989884514
12670.986296505786,10504.276989884514
12635.98654310138,10504.276989884514
12601.60105779729,10504.276989884514
12566.822563373738,10504.276989884514
12533.248252703654,10504.276989884514
12498.116933410953,10504.276989884514
12462.2488593672,10504.276989884514
12426.862796192645,10504.276989884514
12392.255731950201,10504.276989884514
12358.166303992932,10504.276989884514
12325.003269327253,10504.276989884514
12291.957571959123,10504.276989884514
12333.231438239374,10504.276989884514
12301.399298559068,10504.276989884514
12344.11876732862,10504.276989884514
12387.272580683828,10504.276989884514
12430.729686109646,10504.276989884514
12475.325562743888,10504.276989884514
12519.17885583506,10504.276989884514
12489.639457237654,10504.276989884514
12460.712861665063,10504.276989884514
12432.401028499442,10504.276989884514
12468.762977709537,10504.276989884514
12503.956216261768,10504.276989884514
12474.779752789866,10504.276989884514
12446.258750994528,10504.276989884514
12418.472117631,10504.276989884514
12391.721694686294,10504.276989884514
12364.859136773353,10504.276989884514
12336.66957406848,10504.276989884514
12305.487859592527,10504.276989884514
12272.97914146307,10504.276989884514
12314.483889626727,10504.276989884514
12278.867817107883,10504.276989884514
12243.0757441886,10504.276989884514
12208.411676477837,10504.276989884514
12174.886448424986,10504.276989884514
12141.527308090195,10504.276989884514
12183.46202455022,10504.276989884514
12226.91570378542,10504.276989884514
12269.722684671233,10504.276989884514
12310.857766252702,10504.276989884514
12351.54032805603,10504.276989884514
12318.736128127128,10504.276989884514
12284.835074175291,10504.276989884514
12249.3441122468,10504.276989884514
12213.0510817507,10504.276989884514
12174.76250013034,10504.276989884514
12142.10857454955,10504.276989884514
12110.655654813814,10504.276989884514
12079.712234925275,10504.276989884514
12048.693345028774,10504.276989884514
12090.316910937969,10504.276989884514
12132.32450785365,10504.276989884514
12176.099831391197,10504.276989884514
12140.952448191876,10504.276989884514
12185.019932597337,10504.276989884514
12229.154025259551,10504.276989884514
12191.934407987263,10504.276989884514
12154.836197529066,10504.276989884514
12121.291090601893,10504.276989884514
12088.484919883806,10504.276989884514
12055.74777252058,10504.276989884514
12024.217547513657,10504.276989884514
11993.522321837585,10504.276989884514
12029.022202200573,10504.276989884514
12062.6338332398,10504.276989884514
12096.558919204797,10504.276989884514
12129.94649205399,10504.276989884514
12163.606395079134,10504.276989884514
12196.819190075696,10504.276989884514
12229.045349882772,10504.276989884514
12260.698226511664,10504.276989884514
12233.489254499184,10504.276989884514
12208.331903023629,10504.276989884514
12183.354366866135,10504.276989884514
12153.303797577035,10504.276989884514
12119.239708683584,10504.276989884514
12082.031648461094,10504.276989884514
12042.052735397354,10504.276989884514
11998.015173266738,10504.276989884514
